seed,lambda_weight,cl_loss,learning_rate,n_layers,knn_k,sim_weight,valid_r20,test_r20
999,0.01,0.001,0.001,1,10,0.1,0.0997,0.101
111,0.01,0.01,0.001,1,10,0.3,0.1003,0.1007
111,0.01,0.01,0.001,2,10,0.1,0.0986,0.1004
111,0.01,0.01,0.001,2,10,0.3,0.0983,0.0999
111,0.01,0.001,0.001,1,10,0.1,0.0999,0.0999
111,0.01,0.001,0.001,1,10,0.3,0.1006,0.1005
111,0.01,0.001,0.001,2,10,0.1,0.0988,0.1012
111,0.01,0.001,0.001,2,10,0.3,0.0989,0.1016
333,0.01,0.01,0.001,1,10,0.1,0.0987,0.1009
333,0.01,0.01,0.001,1,10,0.3,0.0995,0.1005
333,0.01,0.01,0.001,2,10,0.1,0.0971,0.0997
333,0.01,0.01,0.001,2,10,0.3,0.097,0.0985
333,0.01,0.001,0.001,1,10,0.1,0.0998,0.0997
333,0.01,0.001,0.001,1,10,0.3,0.0998,0.0994
333,0.01,0.001,0.001,2,10,0.1,0.0975,0.0994
333,0.01,0.001,0.001,2,10,0.3,0.0976,0.0991
555,0.01,0.01,0.001,1,10,0.1,0.0976,0.1008
555,0.01,0.01,0.001,1,10,0.3,0.0986,0.1016
555,0.01,0.01,0.001,2,10,0.1,0.0979,0.0999
555,0.01,0.01,0.001,2,10,0.3,0.098,0.0996
555,0.01,0.001,0.001,1,10,0.1,0.0992,0.0999
555,0.01,0.001,0.001,1,10,0.3,0.0999,0.1009
555,0.01,0.001,0.001,2,10,0.1,0.0991,0.1009
555,0.01,0.001,0.001,2,10,0.3,0.0991,0.0989
777,0.01,0.01,0.001,1,10,0.1,0.0992,0.0991
777,0.01,0.01,0.001,1,10,0.3,0.0983,0.0995
777,0.01,0.01,0.001,2,10,0.1,0.0975,0.0994
777,0.01,0.01,0.001,2,10,0.3,0.097,0.0997
777,0.01,0.001,0.001,1,10,0.1,0.0989,0.1006
777,0.01,0.001,0.001,1,10,0.3,0.0985,0.0994
777,0.01,0.001,0.001,2,10,0.1,0.0985,0.1016
777,0.01,0.001,0.001,2,10,0.3,0.0974,0.1011
999,0.01,0.01,0.001,1,10,0.1,0.0995,0.0994
999,0.01,0.01,0.001,1,10,0.3,0.0995,0.101
999,0.01,0.01,0.001,2,10,0.1,0.0976,0.1002
999,0.01,0.01,0.001,2,10,0.3,0.0973,0.098
999,0.01,0.001,0.001,1,10,0.1,0.1006,0.1018
999,0.01,0.001,0.001,1,10,0.3,0.1007,0.1002
999,0.01,0.001,0.001,2,10,0.1,0.0983,0.0989
999,0.01,0.001,0.001,2,10,0.3,0.0977,0.1
