model,score_bin,n_users,score_min,score_max,score_mean,posdeg_min,posdeg_max,posdeg_mean,overlap_same_bin_%
AlignRec,zero,17222.0,0.0,0.0,0.0,5.0,125.0,8.101033561723376,90.89209107908921
AlignRec,Q1,506.0,0.0726862085,0.61770445,0.44395227648814223,5.0,110.0,18.24703557312253,17.803837953091683
AlignRec,Q2,501.0,0.619906225,0.6394714699999999,0.6290995962974051,5.0,29.0,7.023952095808383,2.604166666666667
AlignRec,Q3,536.0,0.6445324100000001,0.6934264,0.6673431009048507,5.0,19.0,7.007462686567164,4.632152588555858
AlignRec,Q4,435.0,0.701491565,0.87637125,0.761944499,5.0,27.0,7.04367816091954,9.375
AlignRec,one,245.0,1.0,1.0,1.0,5.0,14.0,6.955102040816326,19.3717277486911
Anchor,zero,17491.0,0.0,0.0,0.0,5.0,89.0,8.10188096735464,90.89209107908921
Anchor,Q1,466.0,0.08493624699999999,0.61770445,0.43833482671781115,5.0,125.0,18.51502145922747,17.803837953091683
Anchor,Q2,432.0,0.619906225,0.6394714699999999,0.6292443891898147,5.0,14.0,7.106481481481482,2.604166666666667
Anchor,Q3,485.0,0.6445324100000001,0.6934264,0.666623134041237,5.0,17.0,6.967010309278351,4.632152588555858
Anchor,Q4,379.0,0.697823375,0.8850435999999999,0.7645269439709762,5.0,25.0,7.0,9.375
Anchor,one,192.0,1.0,1.0,1.0,5.0,14.0,7.041666666666667,19.3717277486911
AlignRec+Anchor,zero,17492.0,0.0,0.0,0.0,5.0,89.0,8.115652869883375,90.89209107908921
AlignRec+Anchor,Q1,441.0,0.066566868,0.61770445,0.43607629554875277,5.0,125.0,18.607709750566894,17.803837953091683
AlignRec+Anchor,Q2,497.0,0.619906225,0.6445324100000001,0.6317404286720322,5.0,14.0,6.909456740442656,2.604166666666667
AlignRec+Anchor,Q3,438.0,0.650515,0.6934264,0.6703348757077625,5.0,20.0,6.995433789954338,4.632152588555858
AlignRec+Anchor,Q4,383.0,0.70144674,0.887095035,0.7669447686031332,5.0,25.0,7.266318537859008,9.375
AlignRec+Anchor,one,194.0,1.0,1.0,1.0,5.0,13.0,6.938144329896907,19.3717277486911
